datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
2020-02-26 21:00:00,0.37246521591945,28.8056114632085,2020 HV2,,nan,False
2020-03-05 03:02:00,0.0815024317525011,30.3774112670521,531060,,nan,True
2020-03-06 23:33:00,0.423830750157928,27.9105689160999,2018 HB,,nan,False
2020-03-07 18:45:00,0.269096676873448,28.3950645298384,364136,,nan,True
2020-03-08 00:11:00,0.468304409642564,25.5339859415162,2013 YW102,,nan,False
2020-03-09 02:29:00,0.379212257403986,32.0169151941853,96315,,nan,False
2020-03-09 14:57:00,0.349212523866408,32.6693001863505,457059,,nan,False
2020-03-10 05:07:00,0.145335544889955,34.0472469964568,276732,,nan,False
2020-03-11 16:04:00,0.121243310388504,26.9028103506272,2020 EV,,nan,False
2020-03-14 20:18:00,0.00219033588981661,33.4184701843507,2020 FD2,,nan,False
2020-03-17 00:03:00,0.407820111038423,25.3295326962706,2019 XG3,,nan,False
2020-03-21 05:09:00,0.291938623943179,26.6142885270753,2017 EN,,nan,True
2020-03-22 23:59:00,0.0183595497157834,29.2178297345079,2020 FB5,,nan,False
2020-03-23 01:54:00,0.458746327067191,30.5551577300089,2015 PZ228,,nan,False
2020-03-24 12:18:00,0.290932448797794,29.3968529087808,2017 MC4,,nan,False
2020-03-24 19:22:00,0.181625298744712,36.6265656258272,2017 FM102,,nan,False
2020-03-26 10:03:00,0.339539921940337,40.606278750326,2020 HD9,,nan,False
2020-03-26 16:02:00,0.482400627751743,31.0056824536363,2016 GU216,,1.317,False
2020-03-27 15:16:00,0.114193404014712,29.4845130316127,2020 EH,,nan,False
2020-03-27 22:18:00,0.140626585483867,34.8952010367649,2020 GB2,,nan,False
2020-03-27 22:28:00,0.377498843664344,32.5810796936842,85953,,0.59,False
2020-04-01 06:09:00,0.0143099374615614,28.6583278802588,2020 GZ1,,nan,False
2020-04-01 18:25:00,0.251319746431399,28.4922975513514,2004 QZ1,,nan,False
2020-04-02 10:14:00,0.409580567931826,25.941997905419,308635,,0.4,True
2020-04-04 22:02:00,0.173692296874629,30.045395698428,2013 EO126,,nan,True
2020-04-07 05:04:00,0.445142654861647,35.3335520898528,2017 HF1,,nan,False
2020-04-08 01:12:00,0.338073067004054,30.4576061946571,2020 HW9,,nan,False
2020-04-09 12:18:00,0.461504708428595,38.6403510860119,526898,,nan,False
2020-04-09 14:27:00,0.330912543605587,26.189307383553,2008 YZ32,,0.382,False
2020-04-10 13:06:00,0.369304558412276,25.3681336669,252793,,nan,False
2020-04-10 13:22:00,0.489140998591549,27.9908630932528,2017 HW4,,nan,False
2020-04-11 07:15:00,0.0260639170920825,25.5092994164053,2020 GM1,,nan,False
2020-04-11 18:57:00,0.0327063676049377,36.5486170822578,2020 HE,,nan,False
2020-04-11 21:02:00,0.142126411301673,27.5174275413655,2020 FO5,,nan,True
2020-04-11 22:55:00,0.480418097777428,37.0182375277236,3360,Syrinx,1.8,False
2020-04-12 10:12:00,0.417663554450271,32.1044608768232,2015 FQ117,,nan,True
2020-04-12 15:47:00,0.161727864357525,29.109295558457,2014 JO25,,nan,True
2020-04-13 19:05:00,0.0993288308872818,33.7843920884324,2013 AO27,,nan,False
2020-04-13 22:11:00,0.348256608713099,28.7110061261722,88959,,nan,False
2020-04-18 08:50:00,0.0183225763477784,37.6811128528257,2020 HY2,,nan,False
2020-04-19 15:49:00,0.457533409521943,25.6375449762965,2015 BE513,,nan,False
2020-04-20 04:11:00,0.240347124494518,25.0977914860077,2020 HG2,,nan,False
2020-04-21 09:02:00,0.424092185231718,34.0180736931906,186823,,nan,False
2020-04-21 23:16:00,0.425693743753566,25.2088256457386,2016 TC11,,nan,False
2020-04-22 21:53:00,0.33791045586315,25.740011011609,2016 UV80,,nan,False
2020-04-23 08:29:00,0.398723258951796,27.3531723706691,2006 UJ185,,nan,False
2020-04-23 11:23:00,0.441721702654636,37.3576726162902,436325,,0.452,False
2020-04-23 18:42:00,0.180935323154937,25.5785440469348,403775,,nan,True
2020-04-24 18:29:00,0.0358330619139573,28.0096638797298,2020 HW3,,nan,False
2020-04-26 00:22:00,0.308933859082091,31.2346916160805,545274,,nan,False
2020-04-26 08:32:00,0.426521629947896,26.1635716565249,2013 HT15,,nan,True
2020-04-27 13:00:00,0.489478653483286,29.7251611326775,2005 TS15,,nan,True
2020-05-01 02:10:00,0.0666171907001809,26.774841096111,2020 JH,,nan,False
2020-05-01 09:09:00,0.460678797099766,40.3139778832668,2011 JR13,,nan,True
2020-05-02 10:25:00,0.479413531402681,31.841571514694,152564,,0.282,False
2020-05-03 18:25:00,0.248263867906914,33.7848985424244,2020 JL,,nan,False
2020-05-03 22:41:00,0.429938745699904,29.6367911529385,2018 NY14,,nan,True
2020-05-04 19:22:00,0.420788413182681,26.8362806395326,2017 MM8,,nan,False
2020-05-05 19:38:00,0.342569992160883,34.3989160071173,2018 HX1,,nan,False
2020-05-06 09:10:00,0.485971962511604,33.2958870247647,188174,,nan,False
2020-05-08 17:34:00,0.391626044679528,26.3876926565626,2016 EO84,,nan,False
2020-05-10 15:52:00,0.493459400299015,34.2634434133034,523609,,nan,True
2020-05-11 12:07:00,0.283239846906307,28.6925313564157,159929,,2.62,False
2020-05-14 06:40:00,0.231763645488132,25.9971043943514,2015 GZ13,,nan,True
2020-05-14 06:46:00,0.313253238342366,26.4207864554914,331471,,nan,False
2020-05-15 22:43:00,0.162962830465115,26.5552926485593,2009 WZ7,,nan,False
2020-05-20 23:30:00,0.336565988391344,27.1230425759932,2020 KR6,,nan,False
2020-05-21 13:34:00,0.276565912055228,26.6235894673333,433992,,0.827,False
2020-05-22 08:43:00,0.152268198671921,25.2465112181315,2020 KM1,,nan,False
2020-05-29 02:39:00,0.494786704896934,26.597870066454,2016 JN34,,nan,False
2020-05-30 12:49:00,0.158028995643783,35.2428184031925,267494,,nan,True
2020-05-30 16:44:00,0.440252220833859,33.4745776688465,2011 JX1,,nan,False
2020-06-03 04:20:00,0.108467124695017,29.4583679172909,2020 KS6,,nan,False
2020-06-04 03:07:00,0.420258243019246,26.3479688577175,2011 KY15,,nan,False
2020-06-05 05:18:00,0.397932394029931,38.5152744530263,2018 KM1,,nan,False
2020-06-05 08:23:00,0.00204816489439974,27.1446685280438,2020 LD,,nan,False
2020-06-06 13:19:00,0.449953691353104,45.357151775193,471926,Jormungandr,nan,True
2020-06-09 16:42:00,0.477743364894354,26.5354212428246,2013 VY13,,nan,True
2020-06-10 05:02:00,0.401260923324704,25.9226865309194,2016 VN1,,nan,False
2020-06-10 14:39:00,0.371551736330512,26.9919211873936,2017 WA14,,nan,False
2020-06-10 18:54:00,0.30799212695756,32.2853392382401,2017 MM7,,nan,False
2020-06-13 08:25:00,0.385104022652943,31.0937087097475,2013 UF3,,nan,False
2020-06-16 03:22:00,0.0807610518650269,36.1435658259013,2020 KC7,,nan,False
2020-06-17 01:41:00,0.232982542579064,25.5922646178254,2020 KE7,,nan,False
2020-06-19 03:59:00,0.483000203484306,28.2218133066682,2102,Tantalus,1.649,True
2020-06-19 06:31:00,0.298363524611885,26.2286084165506,2020 KR4,,nan,True
2020-06-19 10:14:00,0.368291986168993,35.7695646814426,2101,Adonis,0.6,True
2020-06-20 23:24:00,0.388128306922937,35.3479660993352,2006 DU62,,nan,True
2020-06-20 23:34:00,0.454405869000518,27.0696570710249,2015 XK1,,0.35,False
2020-06-21 19:38:00,0.487853163917733,28.3071902123942,2020 KN3,,nan,True
2020-06-23 14:51:00,0.269772886699436,25.7334568025784,2020 OJ1,,nan,False
2020-06-23 16:28:00,0.475877953279189,26.6297708983988,2010 XC25,,nan,True
2020-06-23 23:07:00,0.426104700355654,25.6283058936277,184990,,2.039,False
2020-06-25 04:17:00,0.294341400040533,29.5758343500525,2020 MB1,,nan,False
2020-06-26 22:54:00,0.255869340725038,32.1109227978009,159608,,nan,False
2020-06-28 16:32:00,0.255322937267182,27.8216932958796,2020 KD7,,nan,False
2020-06-30 03:03:00,0.3860120078826,28.288133189849,2007 BE49,,nan,False
2020-07-01 20:41:00,0.467773310671511,27.9623772394012,2012 MO3,,nan,False
2020-07-02 20:10:00,0.329007119190961,31.5584651656133,215588,,0.488,True
2020-07-05 05:58:00,0.31957698723283,27.2216924521456,2020 BE,,nan,False
2020-07-06 18:33:00,0.460925606064675,28.7155738535992,2017 OM1,,nan,False
2020-07-08 10:39:00,0.478914181077012,37.2536814205102,539063,,nan,True
2020-07-08 11:27:00,0.163174007807998,26.6793693876363,242450,,2.914,True
2020-07-08 20:04:00,0.488800648071411,41.2049479542164,2008 MG1,,nan,False
2020-07-09 06:18:00,0.263334048765346,27.1748943644452,2015 HH10,,nan,False
2020-07-17 22:40:00,0.492828356112881,34.8745855114972,2013 LV28,,nan,False
2020-07-20 02:30:00,0.0481140453971302,26.5255450342397,2020 OB,,nan,False
2020-07-20 15:04:00,0.0221449807146549,31.5879140535321,2020 OF,,nan,False
2020-07-22 16:15:00,0.443074295859429,26.1627608432152,2019 MG2,,nan,False
2020-07-25 03:35:00,0.44000618933392,27.9504008377198,2017 QN2,,nan,False
2020-07-26 06:54:00,0.420590157705789,34.7429715458946,2020 RH1,,nan,False
2020-07-27 03:05:00,0.317966936280837,31.1914736918628,496901,,nan,True
2020-07-29 02:24:00,0.324480129535525,39.6077530751476,242643,,1.989,True
2020-07-30 01:58:00,0.236376684663049,25.036268561788,308043,,nan,False
2020-07-31 20:58:00,0.0550035690369976,30.8094201018555,2020 NK1,,nan,True
2020-08-02 05:47:00,0.432209638974285,31.0370355621936,368565,,nan,True
2020-08-02 07:08:00,0.44571921151884,28.7234312946563,2008 PR9,,nan,False
2020-08-04 09:36:00,0.342935296931767,30.3807173930176,36284,,nan,False
2020-08-07 13:10:00,0.425928717895639,33.2848845491931,2006 EC1,,nan,False
2020-08-08 18:49:00,0.360354533705107,38.5222934438023,2008 QB,,nan,False
2020-08-09 00:10:00,0.410484114125476,27.6424390750317,376788,,nan,False
2020-08-09 18:46:00,0.0221940019187796,44.2761293775263,2020 PD7,,nan,False
2020-08-14 12:47:00,0.428865881312423,35.5500461857847,2018 ET2,,nan,False
2020-08-14 22:11:00,0.491802655848157,28.3832035840464,2018 PR10,,nan,False
2020-08-18 01:20:00,0.336823271908702,33.6811920372158,2012 KE25,,nan,False
2020-08-20 05:38:00,0.438580184874221,26.3546198938123,2019 MH1,,nan,False
2020-08-20 08:51:00,0.468767766922928,26.5731284306579,221980,,0.432,True
2020-08-20 15:56:00,0.101463584450716,26.7766376256573,2020 QS5,,nan,False
2020-08-20 22:17:00,0.00945164602498997,26.4988650032339,2020 QO1,,nan,False
2020-08-20 22:33:00,0.0731852012452744,36.9961291144269,2020 QH4,,nan,True
2020-08-21 05:10:00,0.382985434334138,29.6651874069748,477492,,nan,False
2020-08-21 21:39:00,0.321344678206563,25.0329405128479,2017 AV3,,nan,False
2020-08-24 21:08:00,0.439042082934495,41.6378732982944,5786,Talos,nan,False
2020-08-27 08:43:00,0.449600076371232,32.26942974755,2009 FY10,,nan,False
2020-08-30 00:48:00,0.434685514780782,31.1251147496768,2019 AH3,,nan,False
2020-08-30 02:57:00,0.40041140994544,30.2648060310873,2008 EJ,,nan,False
2020-08-30 10:16:00,0.156194172115069,35.5202222516924,2020 RB,,nan,True
2020-08-31 05:42:00,0.0430681400511431,27.4000297336008,2020 RR1,,nan,False
2020-08-31 17:44:00,0.260288561269699,29.148946782029,2006 QB31,,nan,False
2020-09-01 12:04:00,0.199078018431234,26.7231598388136,2020 QY1,,nan,False
2020-09-03 07:46:00,0.358275756878446,26.7208298892513,2000 QV7,,nan,True
2020-09-04 17:18:00,0.0853019657384432,31.6214001022967,2020 SE3,,nan,True
2020-09-05 03:40:00,0.355070662212821,37.1855492960617,2003 RW11,,1.507,False
2020-09-10 12:10:00,0.0299677471714082,26.0771360576716,2020 RD2,,nan,False
2020-09-10 12:47:00,0.436567908250937,27.0285201916688,523600,,nan,False
2020-09-10 14:13:00,0.343771237019541,26.6948384179283,387717,,nan,False
2020-09-11 21:23:00,0.415745606793215,27.5454685472673,2019 DB1,,nan,False
2020-09-11 21:26:00,0.481414216372445,30.6218465712536,333889,,0.919,False
2020-09-13 12:09:00,0.181205663405237,29.3303325570472,2020 RE1,,nan,False
2020-09-13 12:09:00,0.327793946023377,28.8533150366959,2013 RG74,,nan,False
2020-09-13 21:19:00,0.220254020177743,32.4356584845825,523654,,nan,True
2020-09-17 12:57:00,0.325858785522883,31.4476120062692,2013 YL2,,nan,False
2020-09-19 09:30:00,0.490546153121687,25.6801339159043,2014 TT35,,nan,False
2020-09-19 18:48:00,0.0158609646831946,25.4245361040328,2020 RQ3,,nan,False
2020-09-20 06:05:00,0.365812174031015,33.8214639726468,2015 FF120,,nan,False
2020-09-20 13:36:00,0.322065459173065,29.9754189024727,226514,,nan,True
2020-09-22 07:22:00,0.0881437675319839,34.2182245246617,2020 RT7,,nan,False
2020-09-25 14:10:00,0.374612800772889,29.6516586956092,8566,,1.568,True
2020-09-26 11:51:00,0.437584048609376,33.7749386402104,2017 SK21,,nan,False
2020-09-27 04:49:00,0.496601767438173,28.8189460367148,2005 EG169,,nan,False
2020-09-27 09:16:00,0.333479441204381,29.2966108975567,2019 BE3,,nan,False
2020-09-29 11:09:00,0.334781463866832,29.3619589932838,2019 JZ2,,nan,False
2020-09-30 03:42:00,0.303675302420464,25.2306930193309,2017 SS32,,nan,False
2020-10-05 03:02:00,0.281883080758869,25.7094729991421,369986,,nan,False
2020-10-05 11:15:00,0.246240519947301,26.0618754712695,312070,,0.595,True
2020-10-08 23:55:00,0.398683463319772,26.2573965895178,2013 GR38,,nan,True
2020-10-11 00:26:00,0.376086820886418,29.4670074707033,2016 TZ56,,nan,False
2020-10-12 04:46:00,0.30492832944973,30.3027080582229,462041,,1.847,False
2020-10-13 17:04:00,0.48870693779951,25.1836907513766,2007 UT3,,nan,False
2020-10-14 06:44:00,0.456585676177574,29.4223283933952,2019 FT,,nan,False
2020-10-17 20:52:00,0.312116594880317,25.3781426724883,2020 KU3,,nan,False
2020-10-18 09:00:00,0.346051437095078,31.4042795731887,436775,,nan,False
2020-10-18 15:47:00,0.445202575305264,26.5440315476568,2013 TS5,,nan,False
2020-10-21 08:43:00,0.496636518097263,43.6943047989099,137032,,1.055,False
2020-10-26 22:45:00,0.354382659984624,34.9775608299661,2016 UZ25,,0.143,True
2020-10-29 17:09:00,0.347972898326608,27.2563464836857,2016 VX1,,nan,False
2020-10-30 18:42:00,0.486798296428886,27.8792844987324,2019 VO3,,nan,False
2020-11-03 09:36:00,0.46936758162998,26.9634283112131,2017 WE,,nan,False
2020-11-05 11:55:00,0.241713262970093,31.3905925382076,2004 FW1,,nan,True
2020-11-09 08:18:00,0.381509355944354,26.2802748668513,2005 LX36,,nan,True
2020-11-11 02:17:00,0.471108448052148,27.227086562122,2015 GF1,,nan,False
2020-11-11 03:35:00,0.483347539119644,27.2790121882519,2012 XE54,,nan,False
2020-11-14 01:27:00,0.494873710966011,36.0692105409059,520808,,0.704,False
2020-11-16 16:13:00,0.383191859353746,37.4997939383466,455176,,nan,True
2020-11-17 17:19:00,0.4922990563618,36.7500712529013,2013 LX28,,nan,False
